node,t,T,H,x,y
2,115,29.74,32.99,9.551978530516426,11.057400000000158
2,116,31.12,28.93,9.551978530516426,11.057400000000158
2,117,29.35,38.05,9.551978530516426,11.057400000000158
2,118,28.67,37.74,9.551978530516426,11.057400000000158
2,119,25.18,49.2,9.551978530516426,11.057400000000158
2,120,26.58,38.02,9.551978530516426,11.057400000000158
2,121,23.93,38.43,9.551978530516426,11.057400000000158
3,0,11.82,65.78,14.32796779577396,16.586100000000236
3,1,11.26,64.19,14.32796779577396,16.586100000000236
3,2,13.13,51.39,14.32796779577396,16.586100000000236
3,3,12.45,50.52,14.32796779577396,16.586100000000236
3,4,12.36,52.52,14.32796779577396,16.586100000000236
3,5,11.33,56.08,14.32796779577396,16.586100000000236
3,6,11.75,56.02,14.32796779577396,16.586100000000236
3,7,12.68,51.13,14.32796779577396,16.586100000000236
3,8,12.07,56.51,14.32796779577396,16.586100000000236
3,9,10.35,62.5,14.32796779577396,16.586100000000236
3,10,10.05,59.46,14.32796779577396,16.586100000000236
3,11,10.84,56.28,14.32796779577396,16.586100000000236
3,12,12.71,49.98,14.32796779577396,16.586100000000236
3,13,10.86,51.55,14.32796779577396,16.586100000000236
3,14,11.36,48.53,14.32796779577396,16.586100000000236
3,15,12.98,44.96,14.32796779577396,16.586100000000236
3,16,12.66,51.74,14.32796779577396,16.586100000000236
3,17,12.31,57.8,14.32796779577396,16.586100000000236
3,18,13.06,54.36,14.32796779577396,16.586100000000236
3,19,11.44,57.73,14.32796779577396,16.586100000000236
3,20,10.39,59.56,14.32796779577396,16.586100000000236
3,21,11.16,51.74,14.32796779577396,16.586100000000236
3,22,11.4,49.62,14.32796779577396,16.586100000000236
3,23,10.89,53.81,14.32796779577396,16.586100000000236
3,24,11.3,54.22,14.32796779577396,16.586100000000236
3,25,13.49,49.99,14.32796779577396,16.586100000000236
3,26,14.57,52.96,14.32796779577396,16.586100000000236
3,27,16.04,48.21,14.32796779577396,16.586100000000236
3,28,14.67,51.11,14.32796779577396,16.586100000000236
